iter	Passed	Remaining
0	134	134447
1	136	67874
2	137	45658
3	138	34564
4	140	27916
5	141	23478
6	143	20300
7	144	17911
8	145	16054
9	147	14573
10	148	13365
11	150	12350
12	151	11493
13	152	10762
14	154	10121
15	155	9568
16	157	9100
17	158	8659
18	160	8268
19	161	7913
20	162	7592
21	164	7298
22	165	7027
23	166	6783
24	168	6559
25	169	6350
26	170	6156
27	172	5979
28	173	5810
29	174	5655
30	176	5513
31	177	5376
32	179	5248
33	180	5126
34	181	5011
35	183	4902
36	184	4797
37	185	4700
38	186	4607
39	188	4520
40	189	4436
41	191	4357
42	192	4281
43	193	4208
44	195	4138
45	196	4071
46	197	4008
47	199	3947
48	200	3887
49	201	3830
50	202	3775
51	204	3724
52	205	3674
53	207	3626
54	208	3579
55	209	3535
56	211	3492
57	212	3451
58	213	3412
59	215	3375
60	216	3338
61	218	3300
62	219	3265
63	220	3231
64	222	3198
65	223	3168
66	225	3138
67	226	3108
68	228	3078
69	229	3049
70	230	3020
71	232	2992
72	233	2965
73	234	2938
74	236	2912
75	237	2887
76	238	2861
77	240	2837
78	241	2813
79	242	2790
80	243	2768
81	245	2745
82	246	2724
83	247	2703
84	249	2682
85	250	2662
86	251	2643
87	253	2624
88	254	2606
89	255	2588
90	257	2570
91	258	2553
92	260	2535
93	261	2519
94	262	2502
95	264	2486
96	265	2469
97	266	2453
98	267	2438
99	269	2423
100	270	2408
101	271	2394
102	273	2380
103	274	2367
104	276	2353
105	277	2340
106	278	2327
107	280	2315
108	281	2303
109	283	2290
110	284	2277
111	285	2265
112	287	2253
113	288	2241
114	289	2230
115	291	2219
116	292	2208
117	293	2196
118	295	2186
119	296	2175
120	297	2164
121	299	2152
122	300	2143
123	302	2133
124	303	2123
125	304	2114
126	306	2104
127	307	2095
128	308	2086
129	310	2075
130	311	2066
131	312	2057
132	314	2048
133	315	2039
134	316	2030
135	318	2022
136	319	2013
137	321	2005
138	322	1995
139	323	1987
140	324	1978
141	326	1970
142	327	1961
143	328	1953
144	329	1945
145	331	1937
146	332	1929
147	334	1923
148	335	1915
149	336	1907
150	337	1900
151	339	1893
152	340	1885
153	341	1878
154	343	1870
155	344	1863
156	345	1856
157	347	1849
158	348	1843
159	349	1836
160	351	1830
161	352	1824
162	354	1819
163	355	1813
164	357	1806
165	358	1799
166	359	1793
167	361	1787
168	362	1781
169	363	1775
170	365	1769
171	366	1764
172	367	1758
173	369	1752
174	370	1746
175	371	1740
176	373	1736
177	374	1730
178	376	1725
179	377	1720
180	379	1715
181	380	1709
182	381	1704
183	383	1699
184	384	1693
185	386	1689
186	387	1683
187	388	1678
188	389	1673
189	391	1667
190	392	1662
191	393	1657
192	395	1652
193	396	1647
194	397	1642
195	399	1637
196	400	1632
197	401	1627
198	402	1621
199	404	1616
200	405	1611
201	406	1606
202	407	1601
203	409	1597
204	410	1592
205	412	1588
206	413	1583
207	414	1579
208	416	1575
209	417	1570
210	418	1566
211	420	1562
212	421	1557
213	422	1553
214	424	1548
215	425	1544
216	426	1539
217	428	1535
218	429	1531
219	430	1526
220	431	1522
221	433	1518
222	434	1514
223	435	1510
224	437	1506
225	438	1502
226	440	1498
227	441	1495
228	442	1491
229	444	1487
230	445	1484
231	447	1480
232	448	1476
233	449	1472
234	451	1468
235	452	1464
236	453	1461
237	455	1457
238	456	1454
239	458	1451
240	459	1448
241	461	1444
242	462	1441
243	463	1437
244	465	1433
245	466	1430
246	467	1426
247	469	1423
248	470	1419
249	472	1416
250	473	1412
251	474	1409
252	476	1405
253	477	1402
254	478	1398
255	480	1395
256	481	1391
257	482	1388
258	484	1384
259	485	1381
260	486	1378
261	488	1374
262	489	1371
263	490	1367
264	492	1364
265	493	1361
266	494	1358
267	496	1355
268	497	1351
269	498	1348
270	500	1345
271	501	1342
272	502	1339
273	504	1335
274	505	1332
275	507	1330
276	508	1327
277	509	1324
278	511	1320
279	512	1317
280	513	1314
281	515	1311
282	516	1308
283	517	1305
284	519	1302
285	520	1299
286	521	1296
287	523	1293
288	524	1290
289	525	1287
290	526	1283
291	528	1280
292	529	1277
293	530	1274
294	532	1272
295	533	1269
296	534	1266
297	536	1263
298	537	1260
299	539	1257
300	540	1254
301	541	1251
302	542	1248
303	544	1246
304	545	1243
305	546	1240
306	548	1237
307	549	1234
308	550	1231
309	552	1228
310	553	1226
311	554	1223
312	556	1220
313	557	1217
314	558	1215
315	559	1212
316	561	1209
317	562	1206
318	563	1203
319	565	1201
320	566	1198
321	567	1195
322	568	1192
323	570	1189
324	571	1186
325	572	1183
326	573	1181
327	575	1178
328	576	1175
329	577	1173
330	579	1170
331	580	1167
332	581	1164
333	582	1162
334	584	1159
335	585	1156
336	586	1153
337	587	1151
338	589	1148
339	590	1145
340	591	1143
341	592	1140
342	594	1137
343	595	1135
344	596	1132
